system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,priority_score
5,306.9803017200744,-0.0115631757578642,0.3336923306092194,-0.4179236399975836,Z6,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.79999900433854],[75.78000107475978,22.799999004473595],[75.78000107475978,22.999998662414054],[75.74000073040688,22.99999860073009],[75.70000036894523,22.99999866757256],[75.70000036894523,22.79999903181466],[75.74000073040688,22.79999900433854]]]}",indore_features,0.6203625791517112,0.7711066697732003,0.6563860790676149,0.22487719161200298,0.6117507353005838
3,308.6703057379744,-0.0103817207765561,0.3589657934536233,-0.4105595621879049,Z4,"{""type"":""Polygon"",""coordinates"":[[[79.16500061774585,20.999998185882564],[79.20999960002473,20.99999818644176],[79.20999960002473,21.149997902727343],[79.16500061774585,21.149997914482338],[79.12000160989884,21.149997847685285],[79.12000160989884,20.99999817814699],[79.16500061774585,20.999998185882564]]]}",nagpur_features,0.6672735263749943,0.8283580662939936,0.6599617081782598,0.23603255568855414,0.6115491439393188
3,308.8211140282865,-0.0279915089627717,0.3539015153718441,-0.4360601490145238,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.599999468719574],[76.01999881427406,22.59999945735246],[76.01999881427406,22.799999049244505],[75.97999848846472,22.799999066099595],[75.93999809268459,22.799999063698277],[75.93999809268459,22.599999448644745],[75.97999848846472,22.599999468719574]]]}",indore_features,0.6578735449288041,0.8334669211463095,0.6066663458774398,0.197403369853125,0.6115070993163306
4,310.2928618188499,-0.0164847796531086,0.3939120555616485,-0.4500256186607223,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.2000002688222],[73.30000070827495,22.325002254421605],[73.23000170282357,22.32500217610994],[73.23000170282357,22.200000237004915],[73.30000070827495,22.2000002688222]]]}",vadodara_features,0.7321384903687819,0.8833245637576252,0.6414910297958981,0.17624798523746918,0.6106099056717732
9,310.20748192564605,0.0054132920775672,0.4271183864945654,-0.4858783941412088,Z10,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.325002254421605],[73.30000070827495,22.449999725834992],[73.23000170282357,22.44999972395041],[73.23000170282357,22.32500217610994],[73.30000070827495,22.325002254421605]]]}",vadodara_features,0.7937739080186373,0.8804321930478863,0.7077647211222512,0.12193693992042846,0.6095711933442288
0,304.7411055637758,0.0172320013269675,0.3301670904634967,-0.4209216769677442,Z1,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.400001273227936],[76.94199828453203,28.400001245107145],[76.94199828453203,28.639998981135705],[76.89099952366062,28.63999893269861],[76.84000075480982,28.639998933689277],[76.84000075480982,28.40000122970283],[76.89099952366062,28.400001273227936]]]}",delhi_features,0.6138192591704521,0.6952505737673541,0.7435336006064402,0.22033565976219746,0.6093948025775064
5,308.92062271262955,-0.0235966677471511,0.3603162826094147,-0.4228755093177871,Z6,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.63999893269861],[76.94199828453203,28.639998981135705],[76.94199828453203,28.880001142530944],[76.89099952366062,28.88000119998277],[76.84000075480982,28.880001165751548],[76.84000075480982,28.639998933689277],[76.89099952366062,28.63999893269861]]]}",delhi_features,0.6697802159372034,0.8368379256434855,0.6199671676910957,0.2173759257978678,0.6080153467835634
3,309.34325322634874,-0.0378314234111452,0.3549962474380984,-0.3982396724113392,Z4,"{""type"":""Polygon"",""coordinates"":[[[73.23000170282357,22.200000237004915],[73.23000170282357,22.32500217610994],[73.15999829827662,22.325002236842266],[73.15999829827662,22.20000023489386],[73.23000170282357,22.200000237004915]]]}",vadodara_features,0.6599055149243626,0.85115516209171,0.576886214510179,0.254695158039108,0.6015525876001557
1,303.48145628417967,0.0086461975113215,0.2988647832568432,-0.3738171053232341,Z2,"{""type"":""Polygon"",""coordinates"":[[[76.9929992638011,28.400001202262935],[77.04400020351113,28.40000120420923],[77.04400020351113,28.639998935074438],[76.9929992638011,28.63999896259588],[76.94199828453203,28.639998981135705],[76.94199828453203,28.400001245107145],[76.9929992638011,28.400001202262935]]]}",delhi_features,0.5557179657157858,0.6525780832765306,0.7175489879489866,0.2916913216583644,0.6010282363234767
2,299.25386144595745,-0.0200261234028703,0.2990837565944707,-0.3224871118823295,Z3,"{""type"":""Polygon"",""coordinates"":[[[88.37999820761097,22.449999772274126],[88.37999820761097,22.575001758153544],[88.32000105210311,22.575001680691184],[88.32000105210311,22.449999783717576],[88.37999820761097,22.449999772274126]]]}",kolkata_features,0.5561244096901629,0.509362028256096,0.6307732859945825,0.36944780110887937,0.5289025521178563
