system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,tree_category,income_score,income_n,priority_score,water_ok
4,308.4758538621264,0.0286022298807821,0.3594863912212998,-0.4385196049499572,Z5,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.3000011271061],[78.69999883462852,17.450000853620047],[78.61999814249717,17.450000803194648],[78.61999814249717,17.30000107202228],[78.69999883462852,17.3000011271061]]]}",hyderabad_features,0.6682398258708087,0.8217707201513393,0.7779451701160055,0.19367769949777722,Medium,0.2587799816000169,0.7412200183999831,0.6505387415242119,False
5,307.73986530689007,0.0487854026782618,0.2628327844798255,-0.3410538477025492,Z6,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.450000768699528],[78.3800003784321,17.600000481302104],[78.29999966915584,17.6000004925567],[78.29999966915584,17.45000084831652],[78.3800003784321,17.450000768699528]]]}",hyderabad_features,0.48883772839396006,0.7968380145693953,0.8390287842541776,0.3413222566563919,Medium,0.662522284353982,0.33747771564601803,0.6117758202258519,True
6,307.46469210213974,0.0483974632193977,0.2712161301988069,-0.3500515005458824,Z7,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.450000837772027],[78.46000108025841,17.600000472294163],[78.3800003784321,17.600000481302104],[78.3800003784321,17.450000768699528],[78.46000108025841,17.450000837772027]]]}",hyderabad_features,0.5043983459080239,0.7875161135027725,0.8378547000578027,0.3276922956625146,Medium,0.31171107608941095,0.688288923910589,0.6761262848278229,True
7,306.9787132766039,0.03918255244325,0.3206656485174132,-0.4037787723535295,Z8,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.450000834989922],[78.54000186464977,17.60000051188324],[78.46000108025841,17.600000472294163],[78.46000108025841,17.450000837772027],[78.54000186464977,17.450000834989922]]]}",hyderabad_features,0.5961833046349816,0.7710528588910859,0.8099661188215473,0.24630433462462367,Medium,0.5200680211778108,0.4799319788221892,0.6067591034574846,False
8,307.25255780599895,0.0587968249462008,0.3118114661296443,-0.4008169528100763,Z9,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.450000803194648],[78.61999814249717,17.600000552470696],[78.54000186464977,17.60000051188324],[78.54000186464977,17.450000834989922],[78.61999814249717,17.450000803194648]]]}",hyderabad_features,0.5797487509192877,0.7803297491063688,0.8693279775933662,0.2507910030426081,Medium,0.5467102793432796,0.45328972065672035,0.6171358524668941,False
9,308.95777252845147,0.0861694474123315,0.3036235893690664,-0.4171868540521476,Z10,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.450000853620047],[78.69999883462852,17.60000053121498],[78.61999814249717,17.600000552470696],[78.61999814249717,17.450000803194648],[78.69999883462852,17.450000853620047]]]}",hyderabad_features,0.5645509500895821,0.8380964308386022,0.9521701910277067,0.22599330087649522,Medium,0.18485445552552704,0.815145544474473,0.7234141301441771,False
0,305.9677241771984,-0.0357127184108993,0.359184265449971,-0.437456465926942,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.59999947203729],[75.78000107475978,22.599999461359594],[75.78000107475978,22.799999004473595],[75.74000073040688,22.79999900433854],[75.70000036894523,22.79999903181466],[75.70000036894523,22.59999940950928],[75.74000073040688,22.59999947203729]]]}",indore_features,0.6676790397925078,0.7368041013761856,0.5832983955882599,0.1952881798827259,Medium,0.9695846277645586,0.03041537223544144,0.45794632920334877,False
1,306.7161047468957,-0.0122001792111309,0.3000880350563392,-0.3782837455170821,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.599999484039053],[75.86000188481238,22.59999944486859],[75.86000188481238,22.79999904569321],[75.82000151171877,22.799999050004832],[75.78000107475978,22.799999004473595],[75.78000107475978,22.599999461359594],[75.82000151171877,22.599999484039053]]]}",indore_features,0.5579884856267385,0.762156604855697,0.6544582120501515,0.2849250979913842,Medium,0.7751328233611146,0.22486717663888545,0.537792262862064,True
2,306.7723914945717,-0.0309147104322554,0.3109937489027386,-0.3810773084379419,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.89999999928615,22.599999422910066],[75.93999809268459,22.599999448644745],[75.93999809268459,22.799999063698277],[75.89999999928615,22.799999069259567],[75.86000188481238,22.79999904569321],[75.86000188481238,22.59999944486859],[75.89999999928615,22.599999422910066]]]}",indore_features,0.5782309577339572,0.7640634020443025,0.5978193864621998,0.2806933106232515,Medium,0.9394989415641891,0.060501058435810884,0.4912503517850555,True
3,308.8211140282865,-0.0279915089627717,0.3539015153718441,-0.4360601490145238,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.599999468719574],[76.01999881427406,22.59999945735246],[76.01999881427406,22.799999049244505],[75.97999848846472,22.799999066099595],[75.93999809268459,22.799999063698277],[75.93999809268459,22.599999448644745],[75.97999848846472,22.599999468719574]]]}",indore_features,0.6578735449288041,0.8334669211463095,0.6066663458774398,0.197403369853125,Medium,0.8948273504276488,0.10517264957235117,0.5032988116187098,False
